timestamp,cpu_usage,ram_usage,disk_usage,bytes_sent,bytes_received,packets_sent,packets_received,active_connections,response_time_ms
2026-08-19 12:23:49,17.4,87.5,72.8,13769181,81735077,46784,82608,747,479.03
2026-08-19 12:23:55,14.9,87.2,72.8,13775302,81749227,46812,82650,731,455.37
2026-08-19 12:24:02,12.8,87.1,72.8,13791238,81767888,46852,82701,725,471.33
2026-08-19 12:24:08,14.7,87.0,72.8,13799287,81782078,46905,82758,728,456.09
2026-08-19 12:24:15,19.7,87.1,72.8,13807349,81818176,46965,82829,726,443.55
2026-08-19 12:24:21,16.5,87.1,72.8,13816444,81846864,47008,82892,724,442.18
2026-08-19 12:24:28,17.2,87.4,72.8,13828845,81880501,47062,82961,711,449.1
2026-08-19 12:24:34,17.6,87.3,72.8,13842030,81915149,47108,83028,647,457.86
2026-08-19 12:24:41,15.9,87.3,72.8,13847995,81946999,47133,83069,342,446.77
2026-08-19 12:24:47,27.0,88.6,72.8,13919850,82069312,47390,83380,254,472.48
2026-08-19 12:24:54,29.3,91.4,72.8,14199274,83134442,48407,84888,300,438.03
2026-08-19 12:25:00,21.9,89.8,72.8,14223663,83165548,48470,84970,297,438.14
2026-08-19 12:25:07,39.8,97.8,72.8,14610045,86593483,49613,88370,345,447.32
2026-08-19 12:25:13,32.2,90.8,72.8,14666407,86650663,49786,88557,351,487.0
2026-08-19 12:25:20,19.8,87.3,72.8,14699818,86681410,49878,88663,341,461.77
2026-08-19 12:25:26,18.5,87.4,72.8,14711084,86694050,49906,88695,325,487.27
2026-08-19 12:25:33,16.4,87.4,72.8,14716862,86709927,49924,88722,321,446.73
2026-08-19 12:25:39,15.4,87.3,72.8,14724699,86742210,49964,88777,298,465.43
2026-08-19 12:25:46,19.1,87.3,72.8,14731930,86779141,50009,88857,278,466.49
2026-08-19 12:25:52,20.2,87.5,72.8,14738336,86797199,50043,88901,272,462.81
2026-08-19 12:25:59,34.7,87.3,72.8,14874450,86913411,50442,89306,305,463.4
2026-08-19 12:26:05,20.0,87.7,72.8,14918279,86949355,50563,89444,305,471.02
2026-08-19 12:26:12,21.3,87.5,72.8,14923768,86974603,50582,89479,304,449.72
2026-08-19 12:26:18,30.9,87.8,72.8,14943981,87006367,50667,89564,311,449.31
2026-08-19 12:26:25,20.9,87.8,72.8,14953303,87038996,50701,89609,309,487.83
2026-08-19 12:26:32,20.6,84.0,72.8,14960114,87060106,50742,89659,300,629.63
2026-08-19 12:26:38,18.7,83.7,72.8,14966348,87071554,50774,89701,296,457.41
2026-08-19 12:26:45,23.5,83.8,72.8,14978641,87114614,50839,89808,296,453.12
2026-08-19 12:26:51,29.7,83.7,72.8,14990659,87141597,50871,89857,220,446.5
2026-08-19 12:26:58,20.1,83.3,72.8,15001906,87176279,50906,89913,220,446.05
2026-08-19 12:27:04,22.3,82.9,72.8,15048325,87307751,51058,90088,210,454.21
2026-08-19 12:27:11,20.2,84.7,72.8,15116571,87431056,51316,90358,223,493.69
2026-08-19 12:27:17,23.0,84.0,72.8,15128140,87444085,51359,90406,222,529.85
2026-08-19 12:27:24,27.7,84.0,72.8,15149027,87461738,51414,90474,220,454.27
2026-08-19 12:27:30,27.9,84.6,72.8,15154957,87477906,51439,90516,220,470.36
2026-08-19 12:27:37,19.8,85.4,72.8,15178804,87494084,51481,90568,220,437.3
2026-08-19 12:27:43,18.9,84.6,72.8,15184293,87512265,51500,90611,206,468.77
2026-08-19 12:27:50,17.1,84.5,72.8,15190501,87536614,51531,90680,202,469.04
2026-08-19 12:27:56,14.9,84.5,72.8,15196136,87556311,51551,90714,202,462.62
2026-08-19 12:28:03,19.3,84.6,72.8,15208260,87582944,51592,90770,170,476.88
2026-08-19 12:28:09,18.0,84.7,72.8,15213710,87603570,51611,90803,169,473.55
2026-08-19 12:28:16,21.1,84.8,72.8,15239253,87632508,51703,90897,171,454.78
2026-08-19 12:28:22,15.2,84.6,72.8,15247583,87651037,51731,90936,171,445.76
2026-08-19 12:28:28,28.4,85.3,72.8,15262251,87673036,51798,91010,178,435.02
2026-08-19 12:28:35,16.3,84.8,72.8,15268072,87698944,51822,91048,177,447.03
2026-08-19 12:28:41,16.6,85.1,72.8,15273879,87728169,51844,91082,171,455.99
2026-08-19 12:28:48,17.7,85.2,72.8,15279988,87768968,51875,91156,168,449.98
2026-08-19 12:28:54,16.2,85.1,72.8,15285576,87801836,51896,91197,167,470.52
2026-08-19 12:29:01,20.2,85.3,72.8,15295187,87816738,51926,91233,156,453.56
2026-08-19 12:29:07,14.8,85.7,72.8,15300537,87828377,51943,91263,156,463.0
2026-08-19 12:29:14,31.4,87.7,72.8,15346893,87925673,52054,91404,140,442.01
2026-08-19 12:29:20,24.3,89.1,72.8,15356083,87955613,52101,91463,135,470.52
2026-08-19 12:29:27,29.5,88.9,72.8,15361916,87967625,52125,91495,134,479.33
2026-08-19 12:29:33,23.7,87.6,72.8,15373308,87993730,52199,91576,138,459.35
2026-08-19 12:29:40,18.3,87.9,72.8,15380963,88012223,52230,91613,139,439.39
2026-08-19 12:29:46,16.3,84.8,72.8,15405969,88059954,52313,91707,138,480.87
2026-08-19 12:29:53,34.1,86.7,72.8,15445256,88152540,52383,91808,140,468.37
2026-08-19 12:29:59,40.8,90.4,72.8,15450895,88164268,52403,91837,139,443.75
2026-08-19 12:30:06,33.9,89.3,72.8,15523944,88278452,52675,92130,163,472.19
2026-08-19 12:30:12,18.6,87.4,72.8,15542304,88311525,52743,92208,169,470.76
2026-08-19 12:30:19,18.0,86.1,72.8,15548200,88323232,52769,92241,163,485.97
2026-08-19 12:30:25,18.4,86.2,72.8,15553847,88342967,52790,92273,160,472.56
2026-08-19 12:30:32,18.3,86.5,72.8,15559736,88358792,52814,92303,160,466.93
2026-08-19 12:30:38,23.3,84.4,72.8,15566907,88378171,52853,92350,152,465.05
2026-08-19 12:30:45,15.9,83.4,72.8,15575303,88406480,52895,92431,150,459.13
2026-08-19 12:30:51,24.3,83.3,72.8,15580960,88419654,52915,92456,150,463.86
2026-08-19 12:30:58,19.1,83.2,72.8,15593239,88449435,52946,92499,156,450.57
2026-08-19 12:31:04,19.9,84.4,72.8,15669945,88556945,53263,92831,192,482.85
2026-08-19 12:31:11,19.2,83.5,72.8,15678341,88584917,53294,92868,193,473.68
2026-08-19 12:31:17,21.5,83.7,72.8,15683733,88598622,53312,92896,188,453.82
2026-08-19 12:31:24,18.1,83.6,72.8,15689270,88631726,53331,92942,187,449.03
2026-08-19 12:31:30,21.3,83.8,72.8,15694859,88648531,53351,92972,169,461.92
2026-08-19 12:31:37,23.8,83.5,72.8,15700555,88659600,53372,93000,169,452.74
2026-08-19 12:31:43,24.8,83.5,72.8,15707693,88689021,53411,93068,172,459.66
2026-08-19 12:31:50,20.4,84.1,72.8,15726486,88707102,53459,93126,173,464.97
2026-08-19 12:31:56,20.7,83.1,72.8,15733021,88731245,53491,93167,173,455.12
2026-08-19 12:32:03,18.8,83.2,72.8,15749640,88836095,53568,93256,162,461.19
2026-08-19 12:32:09,15.9,83.4,72.8,15754919,88849702,53584,93281,153,449.82
2026-08-19 12:32:16,17.0,83.7,72.8,15760533,88869366,53603,93309,150,442.87
2026-08-19 12:32:22,18.3,83.8,72.8,15766450,88890016,53626,93345,150,435.01
2026-08-19 12:32:29,29.3,84.2,72.8,15771730,88906863,53642,93373,150,444.72
2026-08-19 12:32:35,18.6,84.1,72.8,15777418,88921872,53666,93406,147,455.61
2026-08-19 12:32:43,19.6,84.2,72.8,15783647,88947988,53692,93462,147,1289.49
2026-08-19 12:32:49,18.4,83.6,72.8,15798322,88982589,53765,93541,154,469.65
2026-08-19 12:32:56,17.5,83.8,72.8,15822936,89012629,53845,93639,157,457.82
2026-08-19 12:33:02,22.3,83.4,72.8,15834757,89045516,53879,93691,131,429.56
2026-08-19 12:33:08,21.4,84.1,72.8,15857649,89087513,53955,93784,135,447.23
2026-08-19 12:33:15,22.8,87.5,72.8,15863103,89103646,53974,93814,135,463.27
2026-08-19 12:33:21,16.0,86.9,72.8,15868819,89127820,53995,93849,133,480.47
2026-08-19 12:33:28,20.4,87.0,72.8,15876464,89149905,54030,93891,137,434.92
2026-08-19 12:33:34,16.6,87.1,72.8,15882274,89163853,54053,93924,134,441.77
2026-08-19 12:33:41,23.6,87.2,72.8,15887747,89181332,54071,93952,130,431.93
2026-08-19 12:33:47,17.8,87.2,72.8,15893253,89212939,54089,94007,130,484.2
2026-08-19 12:33:54,18.2,86.9,72.8,15900428,89235505,54128,94056,130,450.84
2026-08-19 12:34:00,25.4,87.2,72.8,15909213,89257862,54147,94108,130,441.64
2026-08-19 12:34:07,20.1,87.0,72.8,15914990,89283986,54169,94141,123,480.97
2026-08-19 12:34:13,20.7,87.0,72.8,15920509,89295140,54188,94167,122,476.26
2026-08-19 12:34:20,16.1,86.9,72.8,15928553,89319543,54209,94201,123,586.21
2026-08-19 12:34:27,39.8,83.6,72.8,16041815,89478771,54675,94665,184,677.86
2026-08-19 12:34:33,8.9,76.1,72.8,16114632,89834993,54944,95103,203,526.04
2026-08-19 12:34:40,10.8,75.6,72.8,16165462,89950166,55126,95327,224,457.57
2026-08-19 12:34:46,7.7,76.2,72.8,16180483,89996071,55183,95427,226,462.74
2026-08-19 12:34:53,23.8,75.8,72.8,16186105,90009682,55204,95456,207,442.21
2026-08-19 12:34:59,33.5,76.7,72.8,16197730,90034008,55250,95510,193,447.81
2026-08-19 12:35:06,22.3,80.7,72.8,16365638,93575774,55889,98436,198,482.66
2026-08-19 12:35:12,1.6,78.4,72.8,16371296,93587737,55910,98463,192,452.84
2026-08-19 12:35:19,23.1,79.5,72.8,16535451,98425646,56714,102419,213,450.69
2026-08-19 12:35:25,20.5,78.6,72.8,16540812,98450920,56731,102448,213,474.89
2026-08-19 12:35:32,14.9,78.3,72.8,16651387,99784308,57115,103622,220,684.59
2026-08-19 12:35:38,11.1,77.7,72.8,16694342,100292331,57289,104098,227,441.79
2026-08-19 12:35:45,14.0,77.3,72.8,16703397,100318383,57315,104156,225,464.32
2026-08-19 12:35:51,10.0,77.8,72.8,16772833,102495495,57628,105913,222,457.25
2026-08-19 12:35:58,12.7,79.5,72.8,16806761,102525322,57698,106001,225,424.11
2026-08-19 12:36:04,24.8,81.6,72.8,16839625,102572088,57798,106126,221,447.91
2026-08-19 12:36:11,12.2,81.4,72.8,16866032,102604740,57845,106188,222,432.94
2026-08-19 12:36:17,16.3,80.8,72.8,16933961,103016281,58112,106653,238,426.87
2026-08-19 12:36:24,13.6,81.7,72.8,17112024,107698820,58888,110497,228,469.83
2026-08-19 12:36:30,47.8,90.0,72.8,17356891,119257420,60465,119608,220,483.51
2026-08-19 12:36:37,15.3,90.0,72.8,17613726,145640817,63019,140086,205,491.79
2026-08-19 12:36:43,21.9,90.7,72.8,17865636,171490037,65537,160157,202,466.16
2026-08-19 12:36:50,19.8,90.7,72.8,18057138,183102034,66763,169227,195,448.86
2026-08-19 12:36:56,14.9,90.4,72.8,18286680,205545920,69028,186628,182,468.34
2026-08-19 12:37:03,14.7,90.6,72.8,18552363,230912592,71659,206310,179,501.67
2026-08-19 12:37:09,14.2,90.6,72.8,18813461,257108196,74292,226624,176,470.92
2026-08-19 12:37:16,20.3,91.4,72.8,19076035,282724464,76874,246495,170,460.78
2026-08-19 12:37:22,24.1,92.4,72.8,19365571,308171535,79578,266301,174,516.57
2026-08-19 12:37:29,38.1,94.8,72.8,19692126,334105538,82436,286556,196,617.3
2026-08-19 12:37:35,17.1,83.2,72.8,19830567,341166722,83393,292150,200,445.87
2026-08-19 12:37:42,11.6,81.5,72.8,19856584,342748284,83571,293404,200,610.26
2026-08-19 12:37:49,32.1,82.0,72.8,19878131,342782088,83633,293494,205,437.62
2026-08-19 12:37:55,9.5,80.2,72.8,19898383,342846677,83705,293599,207,458.51
2026-08-19 12:38:02,18.5,80.4,72.8,19918245,342867921,83743,293651,181,458.57
2026-08-19 12:38:08,19.2,80.7,72.8,19936432,342897824,83801,293721,179,452.99
2026-08-19 12:38:15,21.0,80.8,72.8,19941712,342914623,83817,293747,169,461.16
2026-08-19 12:38:21,15.7,80.9,72.8,19951916,342945369,83849,293795,155,468.12
2026-08-19 12:38:28,25.4,82.6,72.8,20203386,354408636,85428,302908,185,447.28
2026-08-19 12:38:34,17.5,81.4,72.8,20217090,354429195,85472,302963,181,443.82
2026-08-19 12:38:40,16.9,81.7,72.8,20234076,354461420,85507,303016,183,440.27
2026-08-19 12:38:47,18.0,82.4,72.8,20336049,356801649,86000,304944,188,476.44
2026-08-19 12:38:53,13.7,81.9,72.8,20394046,359776022,86324,307276,182,457.36
2026-08-19 12:39:00,20.5,81.7,72.8,20423084,361069593,86492,308310,182,466.15
2026-08-19 12:39:06,10.0,81.3,72.8,20433180,361099690,86515,308351,174,464.69
2026-08-19 12:39:13,12.6,81.1,72.8,20441593,361119089,86556,308400,173,473.73
2026-08-19 12:39:19,16.6,81.5,72.8,20447188,361136616,86575,308432,168,441.49
2026-08-19 12:39:26,13.6,81.5,72.8,20455983,361169054,86599,308476,163,464.18
2026-08-19 12:39:32,15.2,84.7,72.8,20796934,384793975,89119,327023,175,494.02
2026-08-19 12:39:39,10.5,84.6,72.8,20954263,401659803,90645,340116,175,455.61
2026-08-19 12:39:45,14.5,84.4,72.8,20968766,401703619,90695,340203,177,444.09
2026-08-19 12:39:52,12.7,83.7,72.8,20981187,401736590,90750,340271,182,440.14
2026-08-19 12:39:58,18.1,82.2,72.8,21107390,406221032,91473,343832,185,457.57
2026-08-19 12:40:05,15.4,81.7,72.8,21117688,406238599,91497,343866,174,453.98
2026-08-19 12:40:12,14.2,82.2,72.8,21135681,406273925,91549,343928,171,1264.8
2026-08-19 12:40:19,13.5,80.8,72.8,21169012,406314554,91643,344030,173,470.74
2026-08-19 12:40:25,10.4,80.2,72.8,21200591,406343219,91713,344119,156,438.0
2026-08-19 12:40:32,5.9,77.8,72.8,21215259,406380333,91772,344188,148,455.71
2026-08-19 12:40:38,7.1,77.3,72.8,21221038,406413800,91794,344227,147,437.8
2026-08-19 12:40:45,15.3,77.5,72.8,21243980,406455407,91833,344319,146,435.22
2026-08-19 12:40:51,2.9,77.4,72.8,21260716,406481669,91891,344386,151,450.08
2026-08-19 12:40:58,2.7,77.3,72.8,21266291,406504408,91910,344416,149,467.33
2026-08-19 12:41:04,3.2,77.1,72.8,21275402,406521913,91933,344451,149,452.19
2026-08-19 12:41:11,11.3,77.4,72.8,21282665,406556030,91960,344493,147,486.04
2026-08-19 12:41:17,48.7,83.5,72.8,21353984,406783519,92154,344701,157,433.93
2026-08-19 12:41:23,4.6,82.7,72.8,21398293,406808570,92195,344763,154,447.37
2026-08-19 12:41:30,2.1,82.2,72.8,21409646,406832291,92228,344803,144,458.69
2026-08-19 12:41:36,1.7,81.8,72.8,21415000,406859852,92245,344831,141,442.06
2026-08-19 12:41:43,2.0,81.9,72.8,21420698,406881524,92265,344865,134,429.62
2026-08-19 12:41:49,1.5,81.9,72.8,21434882,406901490,92291,344921,131,443.97
2026-08-19 12:41:56,3.1,82.0,72.8,21440328,406926902,92310,344953,131,448.95
2026-08-19 12:42:02,2.0,81.5,72.8,21449498,406943941,92333,344985,128,438.92
2026-08-19 12:42:09,2.9,81.5,72.8,21462759,407049319,92408,345082,132,461.38
2026-08-19 12:42:15,1.6,81.5,72.8,21468204,407066454,92426,345108,125,454.66
2026-08-19 12:42:22,2.8,81.3,72.8,21475332,407102867,92464,345181,127,439.42
2026-08-19 12:42:28,1.3,81.7,72.8,21485852,407139492,92507,345235,130,439.34
2026-08-19 12:42:34,3.1,81.8,72.8,21491407,407171275,92527,345272,130,450.13
2026-08-19 12:42:41,1.6,81.6,72.8,21496885,407192375,92545,345304,126,435.86
2026-08-19 12:42:47,2.7,81.7,72.8,21502618,407225963,92567,345367,126,449.98
2026-08-19 12:42:54,1.0,81.5,72.8,21508133,407251319,92586,345401,123,429.49
2026-08-19 12:43:00,4.6,81.7,72.8,21514210,407267689,92616,345437,117,441.16
2026-08-19 12:43:07,1.5,81.4,72.8,21522776,407291424,92633,345470,117,441.13
2026-08-19 12:43:13,2.1,81.4,72.8,21528281,407315165,92651,345501,117,432.43
2026-08-19 12:43:20,2.4,81.6,72.8,21533851,407340604,92671,345533,113,440.46
2026-08-19 12:43:26,1.4,81.6,72.8,21541090,407365809,92711,345585,116,461.8
2026-08-19 12:43:32,3.1,81.3,72.8,21548543,407390120,92744,345626,120,445.34
2026-08-19 12:43:39,0.0,81.3,72.8,21553971,407403749,92762,345650,115,454.88
2026-08-19 12:43:45,2.9,81.2,72.8,21559576,407425196,92782,345704,115,457.02
2026-08-19 12:43:52,0.0,81.3,72.8,21565193,407441071,92800,345728,115,450.3
2026-08-19 12:43:58,3.3,81.4,72.8,21571364,407457880,92825,345761,115,437.81
2026-08-19 12:44:05,0.8,81.4,72.8,21582812,407482531,92854,345802,113,452.74
2026-08-19 12:44:11,1.9,81.4,72.8,21588092,407499310,92870,345830,113,446.49
2026-08-19 12:44:18,1.2,81.3,72.8,21593597,407516525,92888,345857,113,441.89
2026-08-19 12:44:24,2.5,81.6,72.8,21599218,407534240,92909,345889,110,443.22
2026-08-19 12:44:31,1.2,81.8,72.8,21606319,407552497,92947,345932,113,441.3
2026-08-19 12:44:37,3.4,81.6,72.8,21611599,407569852,92963,345961,112,420.48
2026-08-19 12:44:43,2.1,81.7,72.8,21644230,407609678,93018,346050,117,439.19
2026-08-19 12:44:50,0.0,81.9,72.8,21652562,407644304,93052,346104,121,456.51
2026-08-19 12:44:56,3.5,81.9,72.8,21665006,407680409,93084,346151,121,440.06
2026-08-19 12:45:03,0.3,81.8,72.8,21674171,407698059,93107,346182,119,461.4
2026-08-19 12:45:09,2.1,81.8,72.8,21679451,407721011,93123,346212,117,452.64
