timestamp,cpu_usage,ram_usage,disk_usage,bytes_sent,bytes_received,packets_sent,packets_received,active_connections,response_time_ms,time_diff_seconds,bytes_sent_diff,bytes_received_diff,packets_sent_diff,packets_received_diff,bytes_sent_per_second,bytes_received_per_second,packets_sent_per_second,packets_received_per_second,network_bytes_per_second,network_packets_per_second,high_cpu,high_ram,high_response_time,anomaly_prediction,anomaly_score,status
2026-08-19 12:17:18,39.9,95.3,72.8,10265753,65378132,32348,60060,997,469.38,6.0,41252.0,54497.0,322.0,236.0,6875.333333333333,9082.833333333334,53.66666666666666,39.333333333333336,15958.166666666668,93.0,0,1,0,1,0.09392533089091831,NORMAL
2026-08-19 12:17:25,48.4,95.8,72.8,10313928,65467801,32687,60337,677,462.47,7.0,48175.0,89669.0,339.0,277.0,6882.142857142857,12809.857142857143,48.42857142857143,39.57142857142857,19692.0,88.0,0,1,0,1,0.08426721874679721,NORMAL
2026-08-19 12:17:31,20.5,89.4,72.8,10513654,65534615,32908,60518,544,429.65,6.0,199726.0,66814.0,221.0,181.0,33287.666666666664,11135.666666666666,36.833333333333336,30.166666666666668,44423.33333333333,67.0,0,0,0,1,0.14907685820561573,NORMAL
2026-08-19 12:17:38,53.0,92.5,72.8,10540650,65587444,33001,60622,482,445.69,7.0,26996.0,52829.0,93.0,104.0,3856.571428571429,7547.0,13.285714285714286,14.857142857142858,11403.571428571428,28.142857142857142,0,1,0,1,0.11947160803106166,NORMAL
2026-08-19 12:17:44,15.9,94.0,72.8,10551164,65630516,33042,60701,479,455.18,6.0,10514.0,43072.0,41.0,79.0,1752.3333333333333,7178.666666666667,6.833333333333333,13.166666666666666,8931.0,20.0,0,1,0,1,0.17323682727495204,NORMAL
2026-08-19 12:17:51,21.0,94.1,72.8,10557985,65656791,33065,60749,479,430.48,7.0,6821.0,26275.0,23.0,48.0,974.4285714285714,3753.571428571429,3.2857142857142856,6.857142857142857,4728.0,10.142857142857142,0,1,0,1,0.17402463908290894,NORMAL
2026-08-19 12:17:57,16.2,91.1,72.8,10563264,65682281,33081,60776,314,454.77,6.0,5279.0,25490.0,16.0,27.0,879.8333333333334,4248.333333333333,2.6666666666666665,4.5,5128.166666666666,7.166666666666666,0,1,0,1,0.22696825082854727,NORMAL
2026-08-19 12:18:04,39.4,87.5,72.8,10574481,65717598,33109,60820,265,466.2,7.0,11217.0,35317.0,28.0,44.0,1602.428571428571,5045.285714285715,4.0,6.285714285714286,6647.714285714286,10.285714285714285,0,0,0,1,0.1969103207000349,NORMAL
2026-08-19 12:18:10,19.8,87.5,72.8,10580380,65749722,33132,60875,262,428.64,6.0,5899.0,32124.0,23.0,55.0,983.1666666666666,5354.0,3.8333333333333335,9.166666666666666,6337.166666666667,13.0,0,0,0,1,0.24926437009841396,NORMAL
2026-08-19 12:18:16,18.2,87.6,72.8,10587638,65774137,33154,60912,262,436.82,6.0,7258.0,24415.0,22.0,37.0,1209.6666666666667,4069.1666666666665,3.6666666666666665,6.166666666666667,5278.833333333333,9.833333333333334,0,0,0,1,0.25111743842367656,NORMAL
2026-08-19 12:18:23,22.6,87.6,72.8,10603189,65802158,33200,60966,262,438.38,7.0,15551.0,28021.0,46.0,54.0,2221.5714285714284,4003.0,6.571428571428571,7.714285714285714,6224.571428571428,14.285714285714285,0,0,0,1,0.24782594129012103,NORMAL
2026-08-19 12:18:29,23.6,87.7,72.8,10616080,65834870,33242,61023,262,449.81,6.0,12891.0,32712.0,42.0,57.0,2148.5,5452.0,7.0,9.5,7600.5,16.5,0,0,0,1,0.2476675451528177,NORMAL
2026-08-19 12:18:36,22.5,87.9,72.8,10626270,65869195,33291,61088,258,443.92,7.0,10190.0,34325.0,49.0,65.0,1455.7142857142858,4903.571428571428,7.0,9.285714285714286,6359.285714285714,16.285714285714285,0,0,0,1,0.2521395672083711,NORMAL
2026-08-19 12:18:42,11.3,88.8,72.8,10732086,66091919,33723,61562,308,439.18,6.0,105816.0,222724.0,432.0,474.0,17636.0,37120.66666666666,72.0,79.0,54756.66666666666,151.0,0,0,0,1,0.16964086649238208,NORMAL
2026-08-19 12:18:49,15.0,88.5,72.8,10741624,66123703,33754,61629,302,434.86,7.0,9538.0,31784.0,31.0,67.0,1362.571428571429,4540.571428571428,4.428571428571429,9.571428571428571,5903.142857142857,14.0,0,0,0,1,0.24348128424946097,NORMAL
2026-08-19 12:18:55,12.8,89.3,72.8,10747652,66150004,33780,61663,301,461.52,6.0,6028.0,26301.0,26.0,34.0,1004.6666666666666,4383.5,4.333333333333333,5.666666666666667,5388.166666666667,10.0,0,0,0,1,0.23608093755363502,NORMAL
2026-08-19 12:19:02,14.0,89.1,72.8,10756748,66181932,33805,61708,299,435.86,7.0,9096.0,31928.0,25.0,45.0,1299.428571428571,4561.142857142857,3.571428571428572,6.428571428571429,5860.571428571428,10.0,0,0,0,1,0.23906845706128105,NORMAL
2026-08-19 12:19:08,17.6,89.3,72.8,10770630,66210272,33847,61769,297,631.19,6.0,13882.0,28340.0,42.0,61.0,2313.6666666666665,4723.333333333333,7.0,10.166666666666666,7037.0,17.166666666666664,0,0,0,1,0.19939970192830758,NORMAL
2026-08-19 12:19:15,14.4,89.3,72.8,10776221,66230818,33866,61797,282,473.02,7.0,5591.0,20546.0,19.0,28.0,798.7142857142857,2935.1428571428573,2.7142857142857144,4.0,3733.857142857143,6.714285714285714,0,0,0,1,0.23821682908271602,NORMAL
2026-08-19 12:19:22,14.0,89.1,72.8,10783748,66264501,33896,61838,229,517.34,7.0,7527.0,33683.0,30.0,41.0,1075.2857142857142,4811.857142857143,4.285714285714286,5.857142857142857,5887.142857142857,10.142857142857142,0,0,0,1,0.2303359574390989,NORMAL
2026-08-19 12:19:28,17.3,88.6,72.8,10789573,66296139,33919,61889,140,507.65,6.0,5825.0,31638.0,23.0,51.0,970.8333333333334,5273.0,3.8333333333333335,8.5,6243.833333333333,12.333333333333334,0,0,0,1,0.24117386981363303,NORMAL
2026-08-19 12:19:35,14.7,88.4,72.8,10795233,66322079,33939,61925,137,462.55,7.0,5660.0,25940.0,20.0,36.0,808.5714285714286,3705.714285714286,2.857142857142857,5.142857142857143,4514.285714285715,8.0,0,0,0,1,0.2516101159408477,NORMAL
2026-08-19 12:19:41,14.3,88.6,72.8,10801479,66344602,33963,61958,137,436.76,6.0,6246.0,22523.0,24.0,33.0,1041.0,3753.8333333333335,4.0,5.5,4794.833333333334,9.5,0,0,0,1,0.24751302639075862,NORMAL
